model_safe,dataset,policy,total_time,status,sequence_metrics_csv,output_dir
yi_6b,long_long,hybrid,1996.98,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_hybrid_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_hybrid_chunk512_qps3_n300
yi_6b,long_long,adaptive_io_aging,1982.02,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_adaptive_io_aging_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_adaptive_io_aging_chunk512_qps3_n300
yi_6b,long_short,fcfs,253.55,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_fcfs_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_fcfs_chunk512_qps3_n300
yi_6b,long_short,sjf,252.07,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_sjf_chunk512_qps3_n300
yi_6b,long_short,ljf,253.02,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_ljf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_ljf_chunk512_qps3_n300
yi_6b,long_short,prompt_len_sjf,255.42,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_prompt_len_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_prompt_len_sjf_chunk512_qps3_n300
yi_6b,long_short,prefill_aging_fairness,247.79,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_prefill_aging_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_prefill_aging_fairness_chunk512_qps3_n300
yi_6b,long_short,vtc_fairness,246.92,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_vtc_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_vtc_fairness_chunk512_qps3_n300
yi_6b,long_short,skip_join_mlfq,252.18,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_skip_join_mlfq_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_skip_join_mlfq_chunk512_qps3_n300
yi_6b,long_short,least_laxity_first,253.11,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_least_laxity_first_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_least_laxity_first_chunk512_qps3_n300
